url,performance,accessibility,best_practices,seo
https://autowayaustin.com/,90.0,88.0,100.0,100.0
https://creditcarsorlando.com/,71.0,100.0,100.0,100.0
https://eastonmotors.com/,74.0,93.0,96.0,100.0
https://expressauto.com/,89.0,100.0,100.0,100.0
https://finesseacar.com/,99.0,92.0,100.0,92.0
https://gilbertmotorcompany.com/,83.0,96.0,100.0,100.0
https://gobgautos.com/,98.0,97.0,100.0,100.0
https://lofimotors.com/,91.0,81.0,78.0,92.0
https://midatlanticautofinance.com/,99.0,100.0,100.0,100.0
https://neighborhoodautos.com/,72.0,97.0,100.0,92.0
https://neo-motors.com/,76.0,93.0,100.0,92.0
https://paradisemotors.net/,97.0,94.0,100.0,92.0
https://regalcars.com/,87.0,96.0,96.0,100.0
https://rockysautocredit.com/,68.0,97.0,100.0,100.0
https://saberacceptance.com/,99.0,95.0,100.0,100.0
https://solutionsautogroup.com/,98.0,97.0,100.0,100.0
https://square1autosales.com/,70.0,96.0,100.0,100.0
https://sullivanmotorsnj.com/,69.0,97.0,100.0,92.0
https://superiorcarsonline.com/,94.0,93.0,100.0,100.0
https://topnotchusedcars.com/,97.0,97.0,100.0,100.0
https://vamosauto.us/,94.0,91.0,100.0,92.0
https://25wautos.com/,99.0,86.0,100.0,92.0
https://865autos.com/,98.0,89.0,100.0,92.0